distance,x,y,value
4.148296593186373116e+00,4.000000000000000000e+01,4.148296593186373116e+00,7.240704500978480951e+00
4.328657314629259290e+00,4.000000000000000000e+01,4.328657314629259290e+00,4.856287918302345297e+00
4.509018036072144575e+00,4.000000000000000000e+01,4.509018036072144575e+00,1.103969190827836178e+00
4.689378757515030749e+00,4.000000000000000000e+01,4.689378757515030749e+00,9.784735812133078525e-01
4.869739478957916035e+00,4.000000000000000000e+01,4.869739478957916035e+00,9.784735812133078525e-01
5.050100200400802208e+00,4.000000000000000000e+01,5.050100200400802208e+00,9.784735812133078525e-01
5.230460921843687494e+00,4.000000000000000000e+01,5.230460921843687494e+00,9.784735812133078525e-01
5.410821643286573668e+00,4.000000000000000000e+01,5.410821643286573668e+00,9.784735812133078525e-01
5.591182364729458953e+00,4.000000000000000000e+01,5.591182364729458953e+00,9.784735812133078525e-01
5.771543086172345127e+00,4.000000000000000000e+01,5.771543086172345127e+00,9.784735812133077415e-01
5.951903807615231301e+00,4.000000000000000000e+01,5.951903807615231301e+00,9.784735812133078525e-01
6.132264529058116587e+00,4.000000000000000000e+01,6.132264529058116587e+00,9.784735812133078525e-01
6.312625250501002760e+00,4.000000000000000000e+01,6.312625250501002760e+00,9.784735812133078525e-01
6.492985971943888046e+00,4.000000000000000000e+01,6.492985971943888046e+00,9.784735812133078525e-01
6.673346693386774220e+00,4.000000000000000000e+01,6.673346693386774220e+00,9.784735812133076305e-01
6.853707414829659506e+00,4.000000000000000000e+01,6.853707414829659506e+00,9.784735812133078525e-01
7.034068136272545679e+00,4.000000000000000000e+01,7.034068136272545679e+00,9.784735812133078525e-01
7.214428857715430965e+00,4.000000000000000000e+01,7.214428857715430965e+00,9.784735812133078525e-01
7.394789579158317139e+00,4.000000000000000000e+01,7.394789579158317139e+00,9.784735812133078525e-01
7.575150300601203313e+00,4.000000000000000000e+01,7.575150300601203313e+00,9.784735812133078525e-01
7.755511022044088598e+00,4.000000000000000000e+01,7.755511022044088598e+00,9.784735812133078525e-01
7.935871743486974772e+00,4.000000000000000000e+01,7.935871743486974772e+00,9.784735812133079635e-01
8.116232464929860058e+00,4.000000000000000000e+01,8.116232464929860058e+00,9.784735812133078525e-01
8.296593186372746231e+00,4.000000000000000000e+01,8.296593186372746231e+00,9.784735812133077415e-01
8.476953907815632405e+00,4.000000000000000000e+01,8.476953907815632405e+00,9.784735812133078525e-01
8.657314629258518579e+00,4.000000000000000000e+01,8.657314629258518579e+00,9.784735812133079635e-01
8.837675350701402976e+00,4.000000000000000000e+01,8.837675350701402976e+00,9.784735812133078525e-01
9.018036072144289150e+00,4.000000000000000000e+01,9.018036072144289150e+00,9.784735812133078525e-01
9.198396793587175324e+00,4.000000000000000000e+01,9.198396793587175324e+00,9.784735812133078525e-01
9.378757515030061498e+00,4.000000000000000000e+01,9.378757515030061498e+00,9.784735812133078525e-01
9.559118236472945895e+00,4.000000000000000000e+01,9.559118236472945895e+00,9.784735812133078525e-01
9.739478957915832069e+00,4.000000000000000000e+01,9.739478957915832069e+00,9.784735812133077415e-01
9.919839679358718243e+00,4.000000000000000000e+01,9.919839679358718243e+00,9.784735812133078525e-01
1.010020040080160442e+01,4.000000000000000000e+01,1.010020040080160442e+01,9.784735812133078525e-01
